DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050101.0,2005-01-01,7.0,Saturday,Sábado,1.0,1.0,1.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050102.0,2005-01-02,1.0,Sunday,Domingo,2.0,2.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050103.0,2005-01-03,2.0,Monday,Lunes,3.0,3.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050104.0,2005-01-04,3.0,Tuesday,Martes,4.0,4.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050105.0,2005-01-05,4.0,Wednesday,Miércoles,5.0,5.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050106.0,2005-01-06,5.0,Thursday,Jueves,6.0,6.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050107.0,2005-01-07,6.0,Friday,Viernes,7.0,7.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050108.0,2005-01-08,7.0,Saturday,Sábado,8.0,8.0,2.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050109.0,2005-01-09,1.0,Sunday,Domingo,9.0,9.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050110.0,2005-01-10,2.0,Monday,Lunes,10.0,10.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050111.0,2005-01-11,3.0,Tuesday,Martes,11.0,11.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050112.0,2005-01-12,4.0,Wednesday,Miércoles,12.0,12.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050113.0,2005-01-13,5.0,Thursday,Jueves,13.0,13.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050114.0,2005-01-14,6.0,Friday,Viernes,14.0,14.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050115.0,2005-01-15,7.0,Saturday,Sábado,15.0,15.0,3.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050116.0,2005-01-16,1.0,Sunday,Domingo,16.0,16.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050117.0,2005-01-17,2.0,Monday,Lunes,17.0,17.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050118.0,2005-01-18,3.0,Tuesday,Martes,18.0,18.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050119.0,2005-01-19,4.0,Wednesday,Miércoles,19.0,19.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050120.0,2005-01-20,5.0,Thursday,Jueves,20.0,20.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050121.0,2005-01-21,6.0,Friday,Viernes,21.0,21.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050122.0,2005-01-22,7.0,Saturday,Sábado,22.0,22.0,4.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050123.0,2005-01-23,1.0,Sunday,Domingo,23.0,23.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050124.0,2005-01-24,2.0,Monday,Lunes,24.0,24.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050125.0,2005-01-25,3.0,Tuesday,Martes,25.0,25.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050126.0,2005-01-26,4.0,Wednesday,Miércoles,26.0,26.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050127.0,2005-01-27,5.0,Thursday,Jueves,27.0,27.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
20050128.0,2005-01-28,6.0,Friday,Viernes,28.0,28.0,5.0,January,Enero,1.0,1.0,2005.0,1.0,3.0,2005.0,2.0
